boro,neighbourhood,rating,price,room_type,latitude,longitude
Bronx,City Island,5,99,Private room,40.8520537788742,-73.7886796346014
Bronx,City Island,5,125,Entire home/apt,40.849774569206,-73.7866093874373
Bronx,City Island,5,69,Private room,40.8500238141605,-73.789327594942307
Bronx,City Island,5,125,Entire home/apt,40.8448695719099,-73.7895405038178
Bronx,City Island,5,85,Entire home/apt,40.8513914755206,-73.7841388675499
Bronx,Allerton,4.5,39,Private room,40.8595592790424,-73.8706689777465
Bronx,Allerton,5,95,Entire home/apt,40.8686817590834,-73.8548282917349
Bronx,Allerton,4.5,125,Entire home/apt,40.8646580453241,-73.8570873879361
Bronx,Allerton,4.5,85,Private room,40.8663306626834,-73.8564284936043
Bronx,Allerton,5,85,Private room,40.8666678426098,-73.8563455616175
Bronx,Allerton,4.5,130,Entire home/apt,40.8575324272204,-73.8660546731997
Bronx,Allerton,4.5,45,Private room,40.8668196519771,-73.8581159443194
Bronx,Allerton,5,38,Private room,40.859033539136,-73.8706131124229
Bronx,Allerton,4.5,45,Private room,40.8668887200942,-73.857756180011
Bronx,Allerton,4.5,50,Private room,40.8678870251284,-73.8599936997502
Bronx,Allerton,4,49,Entire home/apt,40.8583965926093,-73.8696857531362
Bronx,Allerton,4.5,110,Entire home/apt,40.8694691152651,-73.8599349655778
Bronx,Allerton,3,90,Entire home/apt,40.8595906928352,-73.8700668039514
Bronx,Allerton,4.5,45,Private room,40.8640218672147,-73.8538918143831
Bronx,Allerton,4.5,150,Entire home/apt,40.8705409673822,-73.8468070882334
Bronx,Allerton,4.5,42,Private room,40.8689829533414,-73.851274439436
Bronx,Allerton,4.5,38,Private room,40.8591378179936,-73.8697942196552
Bronx,Allerton,4.5,50,Private room,40.8606585675786,-73.8541370807374
Bronx,Allerton,4.5,46,Private room,40.866769614749,-73.8593779298868
Bronx,Allerton,4,43,Private room,40.8681441651871,-73.858744982972
Bronx,Allerton,4.5,45,Private room,40.8652125243211,-73.8676810279511
Queens,Ditmars Steinway,4.5,50,Private room,40.7725919545406,-73.9145901236212
Queens,Ditmars Steinway,5,125,Private room,40.773882042024,-73.9159796853054
Queens,Ditmars Steinway,4,79,Entire home/apt,40.7808016310475,-73.9102462884073
Queens,Ditmars Steinway,4.5,90,Entire home/apt,40.7802781034361,-73.9147655021377
Queens,Ditmars Steinway,4.5,225,Entire home/apt,40.7786230212512,-73.9214891112743
Queens,Ditmars Steinway,5,99,Entire home/apt,40.7748075869063,-73.9126051207922
Queens,Ditmars Steinway,5,100,Entire home/apt,40.7774340842885,-73.9089338263833
Queens,Ditmars Steinway,5,160,Entire home/apt,40.7729689527965,-73.916037916329
Queens,Ditmars Steinway,5,105,Entire home/apt,40.7720577349912,-73.9112444920455
Queens,Ditmars Steinway,5,45,Private room,40.7707660889445,-73.9090311273744
Queens,Ditmars Steinway,4.5,60,Private room,40.7713153246458,-73.9054329270132
Queens,Ditmars Steinway,5,40,Private room,40.7745795418394,-73.9098544048396
Queens,Ditmars Steinway,5,65,Private room,40.7760468567472,-73.9098979289819
Queens,Ditmars Steinway,5,65,Private room,40.7720929145027,-73.9109561510631
Queens,Ditmars Steinway,4.5,50,Private room,40.7744943683943,-73.9150530289864
Queens,Ditmars Steinway,4.5,50,Private room,40.772697175604,-73.9158257504347
Queens,Ditmars Steinway,4.5,35,Private room,40.7692131775977,-73.9083148090617
Queens,Ditmars Steinway,4.5,100,Entire home/apt,40.7715738329042,-73.9069795291686
Queens,Ditmars Steinway,5,80,Entire home/apt,40.7714136472685,-73.9141538018076
Queens,Ditmars Steinway,4.5,95,Entire home/apt,40.7726364799046,-73.9078169623273
Queens,Ditmars Steinway,5,252,Entire home/apt,40.777871925041,-73.9147229751577
Queens,Ditmars Steinway,5,40,Private room,40.7767290610225,-73.9099254484609
Queens,Ditmars Steinway,5,40,Private room,40.7732907471618,-73.916296986228
Queens,Ditmars Steinway,5,95,Entire home/apt,40.7788248153911,-73.9116330107061
Queens,Ditmars Steinway,5,55,Private room,40.776762420464,-73.9147521922518
Queens,Ditmars Steinway,5,126,Entire home/apt,40.7758795046284,-73.9078157632066
Queens,Ditmars Steinway,5,65,Private room,40.7710332506374,-73.9119877557542
Queens,Ditmars Steinway,3.5,40,Private room,40.775249924507,-73.9082742418379
Queens,Ditmars Steinway,5,135,Entire home/apt,40.7790649065869,-73.9126477608545
Queens,Ditmars Steinway,4.5,40,Private room,40.7689761418292,-73.8995746928816
Queens,Ditmars Steinway,4.5,69,Private room,40.7714656867996,-73.9166009458038
Queens,Ditmars Steinway,4.5,89,Private room,40.7710253413993,-73.8946130628988
Queens,Ditmars Steinway,5,100,Shared room,40.7726635163203,-73.9026779910605
Queens,Ditmars Steinway,4.5,159,Private room,40.7728727577735,-73.890509698368
Queens,Ditmars Steinway,5,97,Entire home/apt,40.7765290818611,-73.9088929195959
Queens,Ditmars Steinway,5,52,Private room,40.777281698087,-73.9116987382663
Queens,Ditmars Steinway,5,50,Private room,40.7757310095628,-73.9128025808416
Queens,Ditmars Steinway,4.5,22,Shared room,40.7793994477187,-73.9164584821136
Queens,Ditmars Steinway,5,99,Entire home/apt,40.7741226933926,-73.9060962823408
Queens,Ditmars Steinway,4.5,67,Private room,40.771940009847,-73.9115737205254
Queens,Ditmars Steinway,5,25,Private room,40.7764488068105,-73.905662041209
Queens,Ditmars Steinway,5,100,Entire home/apt,40.7731871666811,-73.9168744476217
Queens,Ditmars Steinway,5,134,Entire home/apt,40.7752170130314,-73.9115511684403
Queens,Ditmars Steinway,5,70,Private room,40.7700463442785,-73.9101139926889
Queens,Ditmars Steinway,4.5,65,Private room,40.7800017040205,-73.9167222102452
Queens,Ditmars Steinway,5,90,Entire home/apt,40.7760625385589,-73.9171070390277
Queens,Ditmars Steinway,5,250,Entire home/apt,40.774110562,-73.9092633476766
Queens,Ditmars Steinway,4.5,65,Private room,40.7775275529773,-73.9095198224356
Queens,Ditmars Steinway,5,178,Entire home/apt,40.7702806463207,-73.9135241769962
Queens,Ditmars Steinway,5,65,Private room,40.7732761212859,-73.9180444078744
Queens,Ditmars Steinway,5,79,Entire home/apt,40.7762715829251,-73.9096281979396
Queens,Ditmars Steinway,5,200,Private room,40.7718792646734,-73.9155467174479
Queens,Ditmars Steinway,5,50,Private room,40.7767318457834,-73.9108118496777
Queens,Ditmars Steinway,4.5,55,Private room,40.7713806842492,-73.9089468806158
Queens,Ditmars Steinway,5,56,Private room,40.7777896703708,-73.908962030378
Queens,Ditmars Steinway,5,188,Entire home/apt,40.773099989735,-73.9124598117819
Queens,Ditmars Steinway,4.5,100,Entire home/apt,40.7839036320429,-73.9006573793764
Queens,Ditmars Steinway,4.5,55,Private room,40.7777589740265,-73.9161217436461
Queens,Ditmars Steinway,5,50,Private room,40.7752192277303,-73.9081144479438
Queens,Ditmars Steinway,4.5,50,Private room,40.774782023808,-73.919128993424
Queens,Ditmars Steinway,5,80,Private room,40.77567386005,-73.9220228570113
Queens,Ditmars Steinway,5,65,Private room,40.7768625683731,-73.9083069115378
Queens,Ditmars Steinway,4.5,113,Entire home/apt,40.7756885575227,-73.9127506161068
Queens,Ditmars Steinway,4.5,60,Private room,40.7750332298972,-73.9188163697179
Queens,Ditmars Steinway,5,110,Entire home/apt,40.7734847395711,-73.9179905932553
Queens,Ditmars Steinway,5,120,Entire home/apt,40.7748709983424,-73.9119626717059
Queens,Ditmars Steinway,5,84,Private room,40.7770735815218,-73.9071019240279
Queens,Ditmars Steinway,5,35,Private room,40.7747226835159,-73.9099307064749
Queens,Ditmars Steinway,5,45,Private room,40.7746895999533,-73.907278886907
Queens,Ditmars Steinway,5,125,Entire home/apt,40.7768758586101,-73.9278289248121
Queens,Ditmars Steinway,4.5,50,Private room,40.7698941015023,-73.9073540286066
Queens,Ditmars Steinway,5,225,Entire home/apt,40.775303593308,-73.9027320034029
Queens,Ditmars Steinway,4.5,69,Private room,40.7709314362673,-73.9172577461903
Queens,Ditmars Steinway,5,130,Entire home/apt,40.778141010823,-73.9066070826551
Queens,Ditmars Steinway,5,120,Entire home/apt,40.7753564721261,-73.9078130652631
Queens,Ditmars Steinway,5,50,Private room,40.7774795248509,-73.909710132943
Queens,Ditmars Steinway,4.5,80,Private room,40.7708569806529,-73.9053972446549
Queens,Ditmars Steinway,4.5,70,Private room,40.7730196987168,-73.9183879341212
Queens,Ditmars Steinway,5,36,Shared room,40.7773771957969,-73.9177242838669
Queens,Ditmars Steinway,4.5,137,Entire home/apt,40.7767161284966,-73.9195610693191
Queens,Ditmars Steinway,5,130,Entire home/apt,40.7716536545183,-73.901770644381
Queens,Ditmars Steinway,4.5,42,Private room,40.7773200816124,-73.9119936696914
Queens,Ditmars Steinway,5,126,Entire home/apt,40.7742345167937,-73.9071495839352
Queens,Ditmars Steinway,4.5,85,Private room,40.7731557369376,-73.8922954432017
Queens,Ditmars Steinway,4.5,75,Private room,40.7743329786136,-73.9173438036089
Queens,Ditmars Steinway,5,70,Private room,40.7770576906646,-73.9104177783915
Queens,Ditmars Steinway,5,70,Private room,40.7754560574699,-73.9067544438846
Queens,Ditmars Steinway,4.5,150,Entire home/apt,40.7764836888757,-73.915948627675
Queens,Ditmars Steinway,5,85,Private room,40.7744190325573,-73.9146514137742
Queens,Ditmars Steinway,4.5,210,Entire home/apt,40.7726022348528,-73.913102168092
Queens,Ditmars Steinway,4.5,50,Private room,40.7716297969778,-73.9158724649033
Queens,Ditmars Steinway,5,99,Entire home/apt,40.7742022297909,-73.9109529758122
Queens,Ditmars Steinway,5,100,Private room,40.7729349489227,-73.9184643532222
Queens,Ditmars Steinway,5,94,Entire home/apt,40.7701173902612,-73.9008800319075
Queens,Ditmars Steinway,5,120,Entire home/apt,40.7826842727757,-73.9183449835475
Queens,Ditmars Steinway,5,107,Private room,40.7759139276499,-73.9059842387787
Queens,Ditmars Steinway,5,125,Entire home/apt,40.7742078424983,-73.9121559533978
Queens,Ditmars Steinway,5,125,Entire home/apt,40.776304133671,-73.9065130855851
Queens,Ditmars Steinway,4.5,90,Private room,40.7698212572593,-73.9076203058676
Queens,Ditmars Steinway,4.5,70,Entire home/apt,40.7712053915695,-73.9170990168172
Queens,Ditmars Steinway,5,115,Entire home/apt,40.7771402721997,-73.9059490409687
Queens,Ditmars Steinway,5,100,Entire home/apt,40.7765423622956,-73.9091644517303
Queens,Ditmars Steinway,5,99,Entire home/apt,40.7696194398312,-73.8960386535938
Queens,Ditmars Steinway,5,80,Private room,40.7770698043116,-73.913976411176
Queens,Ditmars Steinway,4.5,199,Entire home/apt,40.7773770074794,-73.9220358802943
Queens,Ditmars Steinway,5,59,Private room,40.7744546942462,-73.909303658302
Queens,Ditmars Steinway,5,75,Entire home/apt,40.780393492209,-73.9162467294442
Queens,Ditmars Steinway,5,65,Private room,40.7748301800363,-73.9169976675779
Queens,Ditmars Steinway,5,199,Entire home/apt,40.7711606709338,-73.90570879555
Queens,Ditmars Steinway,4.5,100,Private room,40.7728216939135,-73.9197045697614
Queens,Ditmars Steinway,5,91,Entire home/apt,40.7743577668203,-73.9076001764278
Queens,Ditmars Steinway,4.5,89,Entire home/apt,40.7771832654013,-73.9267594470904
Queens,Ditmars Steinway,5,115,Entire home/apt,40.7742227020547,-73.9126302326797
Queens,Ditmars Steinway,4.5,80,Private room,40.7737495360808,-73.9164608688897
Queens,Ditmars Steinway,5,34,Private room,40.7792277115587,-73.9216927576441
Queens,Ditmars Steinway,5,78,Entire home/apt,40.7787168304125,-73.9139550124522
Queens,Ditmars Steinway,5,45,Private room,40.7782098783177,-73.9097188591905
Queens,Ditmars Steinway,5,100,Entire home/apt,40.7767680101488,-73.9105956737456
Queens,Ditmars Steinway,5,85,Entire home/apt,40.7803063218613,-73.9100301441968
Queens,Ditmars Steinway,4.5,68,Entire home/apt,40.7767944165256,-73.9168668863095
Queens,Ditmars Steinway,5,390,Entire home/apt,40.7746605001973,-73.9180708685307
Queens,Ditmars Steinway,5,120,Entire home/apt,40.7729520505433,-73.9170823917511
Queens,Ditmars Steinway,5,60,Private room,40.7688085567295,-73.8948016947115
Queens,Ditmars Steinway,5,110,Entire home/apt,40.7807623907815,-73.9133657544611
Queens,Ditmars Steinway,5,55,Private room,40.7784985406092,-73.9169255087991
Queens,Ditmars Steinway,4.5,45,Private room,40.7780899794519,-73.90888327799
Queens,Ditmars Steinway,5,45,Private room,40.7720883743419,-73.9108204688708
Queens,Ditmars Steinway,5,55,Private room,40.7718330427149,-73.9097340914537
Queens,Ditmars Steinway,4.5,115,Entire home/apt,40.7774180202701,-73.9156138758828
Queens,Ditmars Steinway,5,100,Entire home/apt,40.7769664738135,-73.9223795300327
Queens,Ditmars Steinway,5,100,Private room,40.7759093323048,-73.9145013853082
Queens,Ditmars Steinway,5,210,Entire home/apt,40.7738874900085,-73.9090541229832
Queens,Ditmars Steinway,5,115,Entire home/apt,40.7830390787237,-73.9178297290012
Queens,Ditmars Steinway,5,125,Entire home/apt,40.7741543886985,-73.9169527992352
Queens,Ditmars Steinway,5,205,Entire home/apt,40.7706130101554,-73.9090869993238
Queens,Ditmars Steinway,5,100,Entire home/apt,40.7790281664559,-73.9107090586408
Queens,Ditmars Steinway,5,120,Entire home/apt,40.7727334668662,-73.9112999938758
Queens,Ditmars Steinway,5,95,Entire home/apt,40.7767256118465,-73.9123177367405
Queens,Ditmars Steinway,5,60,Entire home/apt,40.7719995337489,-73.9184771407985
Queens,Ditmars Steinway,5,75,Entire home/apt,40.7741492571992,-73.9186349385908
Queens,Ditmars Steinway,5,55,Private room,40.7777595944761,-73.9207310218079
Queens,Ditmars Steinway,5,65,Private room,40.7766431221494,-73.9089567890798
Queens,Ditmars Steinway,4.5,95,Entire home/apt,40.7813454008262,-73.9078607793754
Queens,Ditmars Steinway,4.5,50,Private room,40.7737621554205,-73.9185480361477
Queens,Ditmars Steinway,5,140,Entire home/apt,40.7749651724423,-73.9142490175843
Queens,Ditmars Steinway,5,181,Entire home/apt,40.7705777801697,-73.9109126293197
Queens,Ditmars Steinway,4.5,40,Private room,40.7694760418617,-73.899792074054
Queens,Ditmars Steinway,4.5,60,Private room,40.7693034162979,-73.9071882224671
Queens,Ditmars Steinway,4.5,83,Entire home/apt,40.7784915611604,-73.9058093109361
Queens,Ditmars Steinway,4.5,45,Private room,40.7841183365436,-73.9128111898098
Queens,Ditmars Steinway,5,59,Private room,40.7743502242338,-73.9121745790491
Queens,Ditmars Steinway,5,299,Entire home/apt,40.7722796259976,-73.9057262829076
Queens,Ditmars Steinway,4,100,Private room,40.7726494384306,-73.9140068507924
Queens,Ditmars Steinway,5,65,Entire home/apt,40.7753460727254,-73.9084569226218
Queens,Ditmars Steinway,5,150,Entire home/apt,40.7802038205032,-73.9091308113544
Queens,Ditmars Steinway,5,50,Private room,40.7711387467141,-73.9096826221624
Queens,Ditmars Steinway,5,45,Private room,40.7758706091582,-73.9177516359038
Queens,Ditmars Steinway,5,95,Private room,40.7778250972841,-73.9116276135614
Queens,Ditmars Steinway,4.5,45,Private room,40.7737172050519,-73.9145024495747
Queens,Ditmars Steinway,5,108,Entire home/apt,40.7746234488488,-73.9077389581855
Queens,Ditmars Steinway,5,58,Private room,40.7731727465598,-73.9168965244098
Queens,Ditmars Steinway,5,70,Private room,40.7707962741805,-73.900362750946
Queens,Ditmars Steinway,4.5,180,Entire home/apt,40.7724049939971,-73.9047404820071
Queens,Ditmars Steinway,5,80,Private room,40.774574805625,-73.9088279185915
Queens,Ditmars Steinway,4,52,Private room,40.777301925743,-73.9036866988095
Queens,Ditmars Steinway,5,75,Entire home/apt,40.7723131772275,-73.907933182434
Queens,Ditmars Steinway,5,85,Private room,40.7778104489575,-73.9075606426374
Queens,Ditmars Steinway,4.5,54,Private room,40.7696100977564,-73.9045149516353
Queens,Ditmars Steinway,5,110,Entire home/apt,40.7689307406747,-73.9011038582876
Queens,Ditmars Steinway,5,60,Private room,40.7707532947853,-73.9101789596532
Queens,Ditmars Steinway,5,95,Entire home/apt,40.7811475991127,-73.9088309886003
Queens,Ditmars Steinway,4.5,45,Private room,40.7795953310192,-73.9084049416029
Queens,Ditmars Steinway,4.5,52,Entire home/apt,40.7681384381745,-73.8957349086664
Queens,Ditmars Steinway,4.5,99,Entire home/apt,40.7772018416365,-73.9089746355676
Queens,Ditmars Steinway,5,85,Private room,40.7774212161888,-73.909650262339
Queens,Ditmars Steinway,5,100,Entire home/apt,40.7746587047169,-73.9041881838693
Queens,Ditmars Steinway,4.5,153,Entire home/apt,40.775132646804,-73.9241443120655
Queens,Ditmars Steinway,4,150,Entire home/apt,40.7792529227437,-73.9106817075917
Queens,Ditmars Steinway,5,45,Private room,40.7757544326034,-73.9141932282299
Queens,Ditmars Steinway,4.5,41,Private room,40.7825420028195,-73.9148526185727
Queens,Ditmars Steinway,5,85,Entire home/apt,40.7760494632883,-73.9077373756105
Queens,Ditmars Steinway,5,95,Entire home/apt,40.7734221969482,-73.9087268297532
Queens,Ditmars Steinway,4.5,75,Entire home/apt,40.7814260217573,-73.9201032812453
Queens,Ditmars Steinway,5,100,Entire home/apt,40.7727588018039,-73.9022082996019
Queens,Ditmars Steinway,4.5,175,Entire home/apt,40.7827439039675,-73.913179264763
Queens,Ditmars Steinway,4.5,40,Private room,40.7701077972757,-73.899256976418
Queens,Ditmars Steinway,3.5,100,Private room,40.7790167146523,-73.907676715172
Queens,Ditmars Steinway,4.5,100,Private room,40.7712315722108,-73.9093172985001
Queens,Ditmars Steinway,5,180,Entire home/apt,40.7766889960658,-73.9115061299249
Queens,Ditmars Steinway,4.5,140,Entire home/apt,40.7718500111573,-73.9050239025974
Queens,Ditmars Steinway,3.5,89,Entire home/apt,40.7809010356912,-73.9183725938526
Queens,Ditmars Steinway,5,225,Entire home/apt,40.7780460717985,-73.9152055728654
Queens,Ditmars Steinway,5,112,Entire home/apt,40.7794325031591,-73.9117019139434
Queens,Ditmars Steinway,4.5,110,Entire home/apt,40.7789045865423,-73.9068829271826
Queens,Ditmars Steinway,5,70,Private room,40.7701893778085,-73.904240671411
Queens,Ditmars Steinway,4.5,55,Private room,40.772291370525,-73.9162788585058
Queens,Ditmars Steinway,5,150,Entire home/apt,40.7701177078297,-73.9113443128775
Queens,Ditmars Steinway,4.5,60,Private room,40.7783753963505,-73.9138344928188
Queens,Ditmars Steinway,5,38,Private room,40.7765099581299,-73.9100942615244
Bronx,Soundview,5,75,Entire home/apt,40.8281444068181,-73.8681057475626
Bronx,Soundview,4.5,28,Private room,40.8293919706261,-73.8651368404715
Bronx,Soundview,4.5,35,Private room,40.8213771564611,-73.8760255453545
Bronx,Soundview,5,45,Private room,40.824419841987,-73.8619300023125
Bronx,Soundview,4.5,70,Entire home/apt,40.8298739306122,-73.8660806211136
Queens,Ozone Park,4.5,55,Private room,40.6894897959486,-73.8402300623426
Queens,Ozone Park,4.5,98,Entire home/apt,40.6765662533051,-73.8408346537574
Queens,Ozone Park,5,65,Private room,40.6723783336596,-73.8390862074216
Queens,Ozone Park,4.5,110,Entire home/apt,40.6816502505058,-73.8455770461094
Queens,Ozone Park,5,85,Private room,40.6854938327186,-73.8579934673843
Queens,Ozone Park,4.5,45,Private room,40.6744507600466,-73.8603299504347
Queens,Ozone Park,4.5,65,Private room,40.6904041983565,-73.8372738155405
